coffee_id,acidity,sweetness,body,bitterness,fruitiness,chocolate_nutty,floral,funky_fermented,roasty,clean_cup,confidence,evidence
pink-bourbon-colombia-wilton-benitez-721de7e41aa0,0.6,0.6,0.75,0.3,0.85,0.2,0.8,0.65,0.25,0.7,0.62,"{'acidity': ['rose lemonade', 'passionfruit nectar'], 'sweetness': ['passionfruit nectar', 'silky body'], 'body': ['silky body'], 'bitterness': ['none stated'], 'fruitiness': ['passionfruit nectar'], 'chocolate_nutty': ['none stated'], 'floral': ['rose lemonade'], 'funky_fermented': ['anaerobic bioreactors', 'second fermentation phase', 'deep dives into fermentation tech'], 'roasty': ['none stated', 'roast level unknown'], 'clean_cup': ['clarity', 'depth', 'hot and cold water soak', 'washed with cold water', 'UV and Ozone sterilisation']}"
costa-rica-sustainable-profile-coffee-7d1021c2608c,0.45,0.75,0.6,0.25,0.65,0.75,0.2,0.05,0.35,0.75,0.82,"{'acidity': ['balanced acidity layered into the brew', 'Acidity: ●●●○○'], 'sweetness': ['classical sweetness', 'Tasting notes: milk chocolate, brown sugar & red cherries', 'Sweetness: ●●●○○'], 'body': ['accentuate classical sweetness and body', 'Body: ●●●○○'], 'bitterness': ['medium roast', 'Roast - Medium (no explicit bitterness notes)'], 'fruitiness': ['red cherries'], 'chocolate_nutty': ['milk chocolate'], 'floral': [], 'funky_fermented': ['washed process (no fermentation/boozy/winey notes)'], 'roasty': ['Medium roast (no smoky/burnt notes)'], 'clean_cup': ['Process Method - Washed', 'balanced acidity layered into the brew']}"
el-morito-guatemala-washed-pacamara-24a6e5c537cb,0.75,0.45,0.55,0.2,0.85,0.15,0.2,0.05,0.25,0.7,0.76,"{'acidity': ['Acidity: ●●●●○ (high)', 'tasting notes include citrus: Grapefruit, Lime'], 'sweetness': ['Sweetness: ●●●○○'], 'body': ['Body: ●●●○○'], 'bitterness': ['No roast/bitter notes mentioned (low evidence)'], 'fruitiness': ['Red Berries', 'Grapefruit', 'Lime'], 'chocolate_nutty': ['No chocolate/nut notes mentioned'], 'floral': ['No floral notes mentioned'], 'funky_fermented': ['Process is Washed; no boozy/fermented notes'], 'roasty': ['Roast level unknown; no roast-forward notes'], 'clean_cup': ['Process Method: Washed (supports cleanliness)']}"
el-socorro-guatamala-washed-gesha-581eb1307bf0,0.7,0.7,0.4,0.2,0.8,0.1,0.8,0.1,0.2,0.8,0.78,"{'acidity': ['Tasting notes include acidity score: ●●●●○', 'Process described as washed (clean profile context)'], 'sweetness': ['Sweetness: ●●●○○', 'Tasting notes: nectarine, melon (implied sweetness)'], 'body': ['Body: ●●○○○'], 'bitterness': ['No roast/burnt/smoky or bitter notes mentioned', 'Bitterness not directly described'], 'fruitiness': ['Flavour Notes: nectarine', 'Flavour Notes: melon'], 'chocolate_nutty': ['No chocolate/nutty notes mentioned'], 'floral': ['Tasting notes: jasmine', ""Described as 'clean, floral washed Geshas'""], 'funky_fermented': ['No boozy/winey/lactic/overripe/heavily fermented notes mentioned', 'Washed process suggests low funky/fermented character'], 'roasty': ['No dark roast/smoky/burnt/bitter roast-forward notes mentioned'], 'clean_cup': ['Process: washed', ""Described as 'clean' and 'clean, floral washed Geshas'"", 'Cites high quality with Cup of Excellence context (clean/transparent implication)']}"
hacienda-la-esmeralda-panama-natural-catuai-c6450fd31c22,0.35,0.7,0.6,0.2,0.75,0.25,0.65,0.1,0.25,0.7,0.72,"{'acidity': ['“without too much acidity”', 'Acidity ●●●○○'], 'sweetness': ['“tempered sweetness”', '“Sweetness: ●●●○○”', '“nougat”'], 'body': ['“tactile body”', '“Body: ●●●○○”'], 'bitterness': ['No explicit bitterness/roast-forward notes mentioned'], 'fruitiness': ['“Tropical Fruit”', '“orange”', '“Flavour Notes: Tropical Fruit, Orange”'], 'chocolate_nutty': ['“nougat & biscuit” (no chocolate/nut explicitly)'], 'floral': ['“orange blossom”'], 'funky_fermented': ['Process listed as “washed”; no boozy/winey/lactic/overripe fermentation notes'], 'roasty': ['“biscuit” (light roast/roast-adjacent)', 'No dark/roast-forward notes'], 'clean_cup': ['“positively straight forward brew”', '“one for all audiences”', 'Balanced: “without too much acidity, tempered sweetness”']}"
kamavindi-kenya-washed-ab-729813ea4dca,0.85,0.55,0.45,0.2,0.85,0.15,0.8,0.05,0.2,0.75,0.74,"{'acidity': ['Acidity: ●●●●○'], 'sweetness': ['Sweetness: ●●●○○'], 'body': ['Body: ●●●○○'], 'bitterness': ['No explicit bitterness/roast-forward notes mentioned'], 'fruitiness': ['tasting notes: blackberries', 'Red Apple', 'fruit forward tea infusion'], 'chocolate_nutty': ['No chocolate or nut notes mentioned'], 'floral': ['aroma is also floral', 'Flavor notes: ... & Florals'], 'funky_fermented': ['No anaerobic/boozy/winey/lactic/fermented notes mentioned'], 'roasty': ['Roast level unknown; no smoky/burnt/dark roast notes mentioned'], 'clean_cup': ['Washed process', 'reminded of a fruit forward tea infusion (clean/tea-like)']}"
gesha-luna-bermudez-finca-el-paraiso-155305daea75,0.65,0.8,0.6,0.15,0.85,0.2,0.75,0.55,0.2,0.85,0.78,"{'acidity': ['""Bright and refined""', '""high-mountain oolong tea"" (herbal-tea character)'], 'sweetness': ['""juicy blueberry sweetness""', '""gentle syrupy complexity""'], 'body': ['""silky texture""', '""silky finish""', '""balanced profile""'], 'bitterness': ['no clear roast/burnt notes in tasting notes (neutral low)'], 'fruitiness': ['""Blueberry""', '""layered fruit complexity""', '""juicy blueberry""'], 'chocolate_nutty': ['no evidence of chocolate/nut notes in text'], 'floral': ['""floral aromatics""', '""floral-tea elegance""', '""aromatic clarity""'], 'funky_fermented': ['""anaerobic""', '""custom Gesha yeast culture""', 'but cup described as ""bright and refined"" rather than boozy/winey'], 'roasty': ['""Medium Light"" (low roast-forward)', 'no smoky/burnt notes'], 'clean_cup': ['""thermal shock washed — ... enhances clarity""', '""impeccably balanced profile""', '""layered, expressive cup""', '""aromatic clarity""']}"
manhattan-roasters-brazil-inacio-soares-f2-bda2c333e03b,0.45,0.8,0.85,0.2,0.3,0.85,0.75,0.6,0.25,0.6,0.62,"{'acidity': ['not mentioned'], 'sweetness': ['""sweet allure of praline""'], 'body': ['""silky, creamy body""'], 'bitterness': ['not mentioned (no burnt/smoky notes)'], 'fruitiness': ['not mentioned'], 'chocolate_nutty': ['""deep richness of chocolate""', '""praline""'], 'floral': ['""white flowers""'], 'funky_fermented': ['Process: ""anaerobic"" (no further boozy/winey notes stated)'], 'roasty': ['not roast-forward; roast level unknown'], 'clean_cup': ['""delicate notes""', '""silky, creamy body"" (no explicit washed/clean-balance terms)']}"
manhattan-roasters-brazil-silvio-roberto-9a5585437784,0.55,0.6,0.5,0.35,0.85,0.75,0.6,0.65,0.4,0.65,0.62,"{'acidity': ['delicate hints of rosehip (possible bright acidity)'], 'sweetness': ['smooth milk chocolate finish'], 'body': ['smooth milk chocolate finish (smooth body implication)'], 'bitterness': ['espresso roast mention (possible but roast level not explicit)'], 'fruitiness': ['vibrant notes of passion fruit'], 'chocolate_nutty': ['smooth milk chocolate finish'], 'floral': ['delicate hints of rosehip'], 'funky_fermented': ['anaerobic_natural process (possible ferment character, no specific descriptor)'], 'roasty': [""'Espresso' roast/profile mentioned; roast-forward notes not described""], 'clean_cup': ['vibrant notes; smooth finish (limited support)']}"
manhattan-roasters-ombligon-colombia-nestor-lasso-939cd54bc714,0.5,0.85,0.8,0.25,0.7,0.2,0.2,0.6,0.3,0.6,0.55,"{'acidity': ['enhance clarity (mentions clarity via wash/thermal shock; no direct acidity described)'], 'sweetness': ['rich in sugars and aromatics', 'Dr. Pepper, Jolly Rancher, and vanilla', 'syrupy, lingering mouthfeel'], 'body': ['syrupy, lingering mouthfeel'], 'bitterness': ['no bitterness note provided'], 'fruitiness': ['Dr. Pepper, Jolly Rancher (fruit/candy-like notes)'], 'chocolate_nutty': ['no chocolate or nut notes provided'], 'floral': ['no floral notes provided'], 'funky_fermented': ['cherries left to oxidise in open plastic tanks for 48 hours', 'oxidise stage to intensify flavour development (implied ferment-like intensity)'], 'roasty': [""roast level unknown; only mentions 'Espresso' or 'Filter' designation""], 'clean_cup': ['50°C wash to induce thermal shock and enhance clarity']}"
